127.0.0.1 - - [26/Feb/2018:12:54:08 +0100] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2388
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:21 +0100] "GET /Acme-Rendezvous/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2389
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:36 +0100] "GET /Acme-Rendezvous/favicon.ico HTTP/1.1" 200 32988
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2405
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:54:57 +0100] "GET /Acme-Rendezvous/favicon.ico HTTP/1.1" 200 32988
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2417
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:34 +0100] "GET /Acme-Rendezvous/favicon.ico HTTP/1.1" 200 32988
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2412
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:40 +0100] "GET /Acme-Rendezvous/favicon.ico HTTP/1.1" 200 32988
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/ HTTP/1.1" 200 2418
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [26/Feb/2018:12:55:48 +0100] "GET /Acme-Rendezvous/favicon.ico HTTP/1.1" 200 32988
